mtry.ntree,100,200,300,400,500,600,700,800,900,1000
952,0.192,0.24,0.184,0.2,0.2,0.216,0.2,0.232,0.216,0.248
476,0.216,0.232,0.184,0.192,0.2,0.224,0.176,0.2,0.232,0.216
238,0.216,0.216,0.176,0.192,0.184,0.216,0.184,0.192,0.2,0.192
119,0.192,0.2,0.192,0.184,0.192,0.208,0.184,0.208,0.192,0.208
60,0.208,0.184,0.2,0.208,0.192,0.224,0.184,0.216,0.208,0.208
30,0.216,0.208,0.192,0.232,0.232,0.256,0.24,0.208,0.232,0.192
15,0.24,0.264,0.208,0.24,0.256,0.272,0.232,0.24,0.28,0.248
7,0.336,0.368,0.28,0.344,0.296,0.296,0.312,0.312,0.32,0.328
4,0.384,0.44,0.424,0.4,0.376,0.464,0.472,0.44,0.432,0.488
1,0.736,0.704,0.76,0.776,0.752,0.768,0.712,0.752,0.752,0.752
